500
70
370,330
336,400
399,407
329,305
423,400
332,393
318,331
316,381
375,389
386,369
404,331
380,349
358,362
306,420
353,313
409,354
408,339
308,342
371,383
399,424
357,343
310,374
400,307
345,324
361,333
425,393
308,335
336,327
415,334
340,301
391,423
359,364
376,401
365,405
388,368
374,376
396,373
406,399
389,331
346,336
96,106
79,69
111,79
19,62
9,123
68,104
123,2
5,30
42,119
67,116
49,110
35,109
87,116
98,119
79,52
46,43
111,76
117,77
124,32
110,1
72,45
75,60
89,55
32,113
116,125
105,67
38,13
34,87
53,93
64,57
70
341,363,126
404,408,140
342,319,206
407,311,88
327,406,27
337,379,124
339,401,24
375,420,51
317,385,193
387,309,134
317,331,191
311,322,139
358,398,36
413,379,209
421,424,53
355,384,28
342,402,130
413,330,159
379,397,19
369,383,176
394,324,26
362,354,142
335,302,175
392,383,73
408,419,167
319,335,75
396,330,95
301,420,63
338,327,105
411,385,164
332,356,13
378,389,21
389,367,94
373,374,10
360,400,100
415,348,112
410,328,124
398,375,114
364,343,153
302,412,107
65,22,3
98,80,97
12,55,75
5,52,50
104,109,45
49,20,124
49,80,78
74,17,38
100,83,14
24,68,119
92,80,105
19,59,104
16,17,108
107,118,73
16,21,68
95,56,79
13,16,139
118,38,90
112,6,16
84,10,91
4,49,26
48,67,87
19,13,90
123,71,96
97,45,59
50,75,40
35,40,72
69,116,81
66,90,112
52,107,13
0.6
-1
0.9
